"","x"
"[FE].beta1",0.332830207804257
"[FLIR].mu",-0.0104668938130257
"[FLIR].ar1",1.00000000915007
"[FLIR].omega",0.000106186266858953
"[FLIR].alpha1",0.562554702161883
"[FLIR].beta1",9.69255564174977e-07
"[GIS].mu",-0.00332259656818293
"[GIS].ar1",0.99770715979855
"[GIS].omega",2.67853116556815e-07
"[GIS].alpha1",0.0214395934428403
"[GIS].beta1",0.976322714465021
"[GPS].mu",0.0151578257163694
"[GPS].ar1",1.00000000781246
"[GPS].omega",0.000352297302376341
"[GPS].alpha1",0.108730214590772
"[GPS].beta1",0.0871759038324623
"[GRMN].mu",-0.00822877381132856
"[GRMN].ar1",1.00000000984691
"[GRMN].omega",0.000179632858721145
"[GRMN].alpha1",0.0399703010754648
"[GRMN].beta1",4.13972608247354e-05
"[HAS].mu",0.0090590909649035
"[HAS].ar1",0.999972874657674
"[HAS].omega",3.2457107382633e-05
"[HAS].alpha1",1.53597847296335e-06
"[HAS].beta1",0.862802142867911
"[HPQ].mu",-0.0250390425422906
"[HPQ].ar1",0.993735783472493
"[HPQ].omega",7.03299953936812e-06
"[HPQ].alpha1",0.00554774092586228
"[HPQ].beta1",0.961817613846206
"[HST].mu",1.06645764363187e-05
"[HST].ar1",0.999416252617957
"[HST].omega",2.35675280189059e-05
"[HST].alpha1",0.0560892790656106
"[HST].beta1",0.784879645426455
"[JEC].mu",0.0199436103232554
"[JEC].ar1",1.00000000411867
"[JEC].omega",6.27236582468159e-05
"[JEC].alpha1",0.0300184025904623
"[JEC].beta1",0.518892778415387
"[KO].mu",0.0120963592640052
"[KO].ar1",0.998349197465081
"[KO].omega",1.63623081275463e-05
"[KO].alpha1",0.0884424380615006
"[KO].beta1",0.487139185086394
"[MCHP].mu",0.041953201830745
"[MCHP].ar1",0.998246932050455
"[MCHP].omega",1.07207469768994e-05
"[MCHP].alpha1",0.0576321165333054
"[MCHP].beta1",0.880094394725117
"[MHK].mu",0.0113324493634775
"[MHK].ar1",1.00000000906033
"[MHK].omega",0.000157246065928692
"[MHK].alpha1",0.452771872214117
"[MHK].beta1",0.0233467999669333
"[NEE].mu",-0.00558746110014528
"[NEE].ar1",1.00000000993545
"[NEE].omega",8.29882497532963e-06
"[NEE].alpha1",0.052694021018206
"[NEE].beta1",0.629206802823211
"[PRU].mu",-0.00164210412533259
"[PRU].ar1",0.993979417170557
"[PRU].omega",5.74227691096071e-05
